City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,57.36,54,75,11.5,broken clouds
1,Abu Dhabi,AE,24.4667,54.3667,100.51,63,19,8.05,few clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,38,8.99,scattered clouds
3,Albany,US,42.6001,-73.9662,78.73,69,96,5.77,overcast clouds
4,Sept-Iles,CA,50.2001,-66.3821,67.24,81,75,10.0,broken clouds
5,Te Anau,NZ,-45.4167,167.7167,46.27,94,100,3.47,light rain
6,Hamilton,US,39.1834,-84.5333,90.36,70,40,1.01,scattered clouds
7,Mount Gambier,AU,-37.8333,140.7667,51.71,93,75,13.8,broken clouds
8,Hilo,US,19.7297,-155.09,76.8,89,90,3.44,moderate rain
9,Kabalo,CD,-6.05,26.9167,82.42,28,15,8.08,few clouds
10,Tocopilla,CL,-22.092,-70.1979,66.25,64,98,10.83,overcast clouds
11,Asfi,MA,32.2994,-9.2372,74.12,64,0,21.21,clear sky
12,Tigil,RU,57.8,158.6667,53.49,95,92,4.92,overcast clouds
13,Cayenne,GF,4.9333,-52.3333,84.09,78,90,2.3,overcast clouds
14,Rocha,UY,-34.4833,-54.3333,72.12,72,79,13.85,broken clouds
15,Valparaiso,CL,-33.0393,-71.6273,60.44,69,75,11.5,broken clouds
16,Awjilah,LY,29.1081,21.2869,92.37,20,0,10.83,clear sky
17,Severo-Kurilsk,RU,50.6789,156.125,53.44,98,83,3.22,broken clouds
18,Flinders,AU,-34.5833,150.8552,55.38,62,63,15.99,broken clouds
19,Dzhebariki-Khaya,RU,62.2167,135.8,56.86,93,97,4.63,overcast clouds
20,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,9.22,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,16.11,few clouds
22,Ohara,JP,35.25,140.3833,80.94,86,9,10.65,clear sky
23,Busselton,AU,-33.65,115.3333,58.08,66,37,18.66,scattered clouds
24,Mbini,GQ,1.574,9.6134,80.44,80,84,8.52,broken clouds
25,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.92,76,20,13.06,few clouds
26,Lazaro Cardenas,MX,17.9583,-102.2,85.62,72,33,1.99,scattered clouds
27,Georgetown,MY,5.4112,100.3354,83.89,83,20,2.3,few clouds
28,Ushuaia,AR,-54.8,-68.3,35.26,93,75,27.63,light rain
29,Sitka,US,57.0531,-135.33,55.29,82,90,4.61,overcast clouds
30,Half Moon Bay,US,37.4636,-122.4286,79.05,73,20,1.01,few clouds
31,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,59,0,15.05,clear sky
32,Adrar,MR,20.5022,-10.0711,111.42,7,32,8.08,scattered clouds
33,Dikson,RU,73.5069,80.5464,38.89,88,45,13.73,scattered clouds
34,Airai,TL,-8.9266,125.4092,55.47,55,44,3.15,scattered clouds
35,Coihaique,CL,-45.5752,-72.0662,44.55,49,40,4.61,scattered clouds
36,Whitehorse,CA,60.7161,-135.0538,57.09,58,40,2.3,scattered clouds
37,Koutiala,ML,12.3917,-5.4642,84.45,62,83,8.57,broken clouds
38,Cape Town,ZA,-33.9258,18.4232,62.28,48,0,2.3,clear sky
39,Bredasdorp,ZA,-34.5322,20.0403,53.28,87,100,5.75,overcast clouds
40,Vostok,RU,46.4856,135.8833,65.86,90,86,4.74,overcast clouds
41,Rikitea,PF,-23.1203,-134.9692,70.07,65,97,3.67,overcast clouds
42,Hithadhoo,MV,-0.6,73.0833,80.82,76,84,3.2,broken clouds
43,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,40,11.5,scattered clouds
44,Vaini,TO,-21.2,-175.2,68.16,94,62,0.0,fog
45,Oranjemund,NA,-28.55,16.4333,66.18,30,100,5.35,overcast clouds
46,Asadabad,IR,34.7824,48.1185,90.39,13,26,9.78,scattered clouds
47,Faya,SA,18.3851,42.4509,66.31,65,91,3.31,overcast clouds
48,Kaa-Khem,RU,51.6833,94.7333,65.52,80,98,2.59,overcast clouds
49,Dunedin,NZ,-45.8742,170.5036,49.8,67,100,11.99,overcast clouds
50,Dalby,AU,-27.1833,151.2667,32.7,72,93,5.88,overcast clouds
51,Sinnamary,GF,5.3833,-52.95,79.29,82,100,2.89,overcast clouds
52,Honiara,SB,-9.4333,159.95,77.16,90,94,4.94,overcast clouds
53,Bluff,NZ,-46.6,168.3333,47.8,83,100,5.44,light rain
54,Dowa,MW,-13.654,33.9375,51.67,70,90,4.74,overcast clouds
55,Megara,GR,38.0,23.3456,85.89,28,0,9.22,clear sky
56,Mataura,NZ,-46.1927,168.8643,47.48,89,100,5.01,moderate rain
57,Qalyub,EG,30.1792,31.2056,88.59,58,8,19.17,clear sky
58,Esperance,AU,-33.8667,121.9,53.44,81,0,18.37,clear sky
59,Jamestown,US,42.097,-79.2353,82.09,61,75,8.05,broken clouds
60,Tiksi,RU,71.6872,128.8694,47.53,78,79,6.98,broken clouds
61,Mercedes,AR,-34.6515,-59.4307,58.17,73,89,9.82,overcast clouds
62,Butaritari,KI,3.0707,172.7902,81.72,77,12,10.54,light rain
63,Agbor,NG,6.2518,6.1934,77.61,80,80,6.49,broken clouds
64,Bolobo,CD,-2.1667,16.2333,84.99,31,15,1.25,few clouds
65,Lulea,SE,65.5842,22.1547,68.07,68,0,5.75,clear sky
66,Ramsar,IR,36.9226,50.6426,81.84,83,40,2.3,scattered clouds
67,Kapaa,US,22.0752,-159.319,79.12,84,75,1.99,light rain
68,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,0,1.14,clear sky
69,Tasiilaq,GL,65.6145,-37.6368,46.56,87,67,2.66,broken clouds
70,Urumqi,CN,43.801,87.6005,83.35,23,0,4.47,clear sky
71,Saskylakh,RU,71.9167,114.0833,53.78,80,48,7.02,scattered clouds
72,Leningradskiy,RU,69.3833,178.4167,37.24,91,100,4.32,overcast clouds
73,Hobart,AU,-42.8794,147.3294,42.66,75,40,1.01,moderate rain
74,Schonebeck,DE,52.0167,11.75,84.07,38,94,6.55,overcast clouds
75,San Quintin,MX,30.4833,-115.95,68.47,83,100,6.13,overcast clouds
76,Bull Savanna,JM,17.8868,-77.5902,84.79,61,27,9.33,scattered clouds
77,Cherskiy,RU,68.75,161.3,40.08,78,16,7.72,few clouds
