City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Sept-Iles,CA,67.24,broken clouds,50.2001,-66.3821,Comfort Inn
10,Tocopilla,CL,66.25,overcast clouds,-22.092,-70.1979,Hotel Galvarino
15,Valparaiso,CL,60.44,broken clouds,-33.0393,-71.6273,Hotel Ultramar
38,Cape Town,ZA,62.28,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
44,Vaini,TO,68.16,fog,-21.2,-175.2,Keleti Beach Resort
47,Faya,SA,66.31,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
65,Lulea,SE,68.07,clear sky,65.5842,22.1547,Comfort Hotel Arctic
75,San Quintin,MX,68.47,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
86,Port Alfred,ZA,61.45,scattered clouds,-33.5906,26.891,The Halyards Hotel
89,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
98,Muyezerskiy,RU,64.18,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
101,Goreloye,RU,64.31,overcast clouds,52.937,41.5043,Berendey
110,Gornyy,RU,68.79,scattered clouds,55.1153,83.9059,Gostinyy Dvor
111,Bell Ville,AR,61.81,clear sky,-32.6259,-62.6887,Hotel Central
127,Villa Maria,AR,62.83,clear sky,-32.4075,-63.2402,Hotel Milenium
131,Norman Wells,CA,62.64,few clouds,65.282,-126.8329,Heritage Hotel
137,Abha,SA,66.02,scattered clouds,18.2164,42.5053,Abha Hotel
139,Chicama,PE,68.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
140,Cairns,AU,67.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
144,Shellbrook,CA,67.23,overcast clouds,53.2168,-106.4011,Shellbrook Hotel
148,Ambilobe,MG,68.31,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
152,Vilyuysk,RU,61.81,clear sky,63.7553,121.6247,Gostinitsa Viliuisk
157,Zheleznogorsk,RU,68.58,broken clouds,52.331,35.3711,"Hotel ""Zheleznogorsk"""
161,Chuy,UY,66.04,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
162,Okha,RU,66.81,overcast clouds,53.5739,142.9478,Империя
174,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
181,Lagoa,PT,69.37,overcast clouds,39.05,-27.9833,Casa Das Faias
187,Namibe,AO,69.93,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
189,Boguchany,RU,67.89,broken clouds,58.3814,97.4531,Uyut
194,Kemise,ET,66.22,moderate rain,10.7167,39.8667,Hussen Endris
